------------------------------------------------------------
Server listening on UDP port 46049
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.10 port 46049 connected with 10.0.0.6 port 34475
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 111.0000-112.0000 sec  77.5 KBytes   635 Kbits/sec   0.986 ms 6/60 (10%)
[  1] 112.0000-113.0000 sec  84.7 KBytes   694 Kbits/sec   1.070 ms 3/62 (4.8%)
[  1] 113.0000-114.0000 sec  84.7 KBytes   694 Kbits/sec   1.001 ms 2/61 (3.3%)
[  1] 114.0000-115.0000 sec  86.1 KBytes   706 Kbits/sec   0.570 ms 1/61 (1.6%)
[  1] 115.0000-116.0000 sec  81.8 KBytes   670 Kbits/sec   1.037 ms 3/60 (5%)
[  1] 116.0000-117.0000 sec  84.7 KBytes   694 Kbits/sec   1.042 ms 3/62 (4.8%)
[  1] 117.0000-118.0000 sec  83.3 KBytes   682 Kbits/sec   1.070 ms 3/61 (4.9%)
[  1] 118.0000-119.0000 sec  84.7 KBytes   694 Kbits/sec   0.821 ms 2/61 (3.3%)
[  1] 119.0000-120.0000 sec  84.7 KBytes   694 Kbits/sec   1.228 ms 2/61 (3.3%)
[  1] 120.0000-121.0000 sec  73.2 KBytes   600 Kbits/sec   1.424 ms 10/61 (16%)
[  1] 121.0000-122.0000 sec  84.7 KBytes   694 Kbits/sec   0.733 ms 2/61 (3.3%)
[  1] 122.0000-123.0000 sec  84.7 KBytes   694 Kbits/sec   0.722 ms 2/61 (3.3%)
[  1] 123.0000-124.0000 sec  80.4 KBytes   659 Kbits/sec   1.226 ms 4/60 (6.7%)
[  1] 124.0000-125.0000 sec  86.1 KBytes   706 Kbits/sec   0.803 ms 2/62 (3.2%)
[  1] 125.0000-126.0000 sec  80.4 KBytes   659 Kbits/sec   0.854 ms 4/60 (6.7%)
[  1] 126.0000-127.0000 sec  84.7 KBytes   694 Kbits/sec   1.035 ms 2/61 (3.3%)
[  1] 127.0000-128.0000 sec  83.3 KBytes   682 Kbits/sec   0.897 ms 3/61 (4.9%)
[  1] 128.0000-129.0000 sec  81.8 KBytes   670 Kbits/sec   1.359 ms 4/61 (6.6%)
[  1] 129.0000-130.0000 sec  80.4 KBytes   659 Kbits/sec   0.818 ms 5/61 (8.2%)
