------------------------------------------------------------
Server listening on TCP port 50793
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.8 port 50793 connected with 10.0.0.6 port 51694 (icwnd/mss/irtt=14/1448/41000)
[ ID] Interval       Transfer     Bandwidth
[  1] 203.0000-204.0000 sec   300 KBytes  2.46 Mbits/sec
[  1] 204.0000-205.0000 sec   297 KBytes  2.43 Mbits/sec
[  1] 205.0000-206.0000 sec   304 KBytes  2.49 Mbits/sec
[  1] 206.0000-207.0000 sec   417 KBytes  3.42 Mbits/sec
[  1] 207.0000-208.0000 sec   257 KBytes  2.11 Mbits/sec
[  1] 208.0000-209.0000 sec   318 KBytes  2.61 Mbits/sec
[  1] 209.0000-210.0000 sec   232 KBytes  1.90 Mbits/sec
[  1] 210.0000-211.0000 sec   313 KBytes  2.56 Mbits/sec
[  1] 211.0000-212.0000 sec   542 KBytes  4.44 Mbits/sec
[  1] 212.0000-213.0000 sec   361 KBytes  2.95 Mbits/sec
[  1] 213.0000-214.0000 sec   595 KBytes  4.88 Mbits/sec
[  1] 214.0000-215.0000 sec   346 KBytes  2.84 Mbits/sec
[  1] 215.0000-216.0000 sec   301 KBytes  2.47 Mbits/sec
[  1] 216.0000-217.0000 sec   303 KBytes  2.48 Mbits/sec
[  1] 217.0000-218.0000 sec   303 KBytes  2.48 Mbits/sec
[  1] 218.0000-219.0000 sec   484 KBytes  3.96 Mbits/sec
[  1] 219.0000-220.0000 sec   325 KBytes  2.66 Mbits/sec
[  1] 220.0000-221.0000 sec   296 KBytes  2.42 Mbits/sec
[  1] 221.0000-222.0000 sec  39.6 KBytes   324 Kbits/sec
[  1] 222.0000-223.0000 sec   305 KBytes  2.50 Mbits/sec
[  1] 223.0000-224.0000 sec   342 KBytes  2.80 Mbits/sec
[  1] 224.0000-225.0000 sec   178 KBytes  1.46 Mbits/sec
[  1] 225.0000-226.0000 sec   199 KBytes  1.63 Mbits/sec
[  1] 226.0000-227.0000 sec   329 KBytes  2.70 Mbits/sec
[  1] 227.0000-228.0000 sec   298 KBytes  2.44 Mbits/sec
[  1] 228.0000-229.0000 sec   419 KBytes  3.43 Mbits/sec
[  1] 229.0000-230.0000 sec   321 KBytes  2.63 Mbits/sec
[  1] 230.0000-231.0000 sec   355 KBytes  2.91 Mbits/sec
[  1] 231.0000-232.0000 sec   362 KBytes  2.97 Mbits/sec
[  1] 232.0000-233.0000 sec   243 KBytes  1.99 Mbits/sec
[  1] 233.0000-234.0000 sec   303 KBytes  2.48 Mbits/sec
[  1] 234.0000-235.0000 sec   553 KBytes  4.53 Mbits/sec
[  1] 235.0000-236.0000 sec   430 KBytes  3.52 Mbits/sec
[  1] 236.0000-237.0000 sec   188 KBytes  1.54 Mbits/sec
[  1] 237.0000-238.0000 sec   327 KBytes  2.68 Mbits/sec
[  1] 238.0000-239.0000 sec   506 KBytes  4.15 Mbits/sec
[  1] 239.0000-240.0000 sec   556 KBytes  4.55 Mbits/sec
[  1] 240.0000-241.0000 sec   313 KBytes  2.56 Mbits/sec
[  1] 241.0000-242.0000 sec   458 KBytes  3.75 Mbits/sec
[  1] 242.0000-243.0000 sec   160 KBytes  1.31 Mbits/sec
[  1] 243.0000-244.0000 sec   387 KBytes  3.17 Mbits/sec
[  1] 244.0000-245.0000 sec   317 KBytes  2.59 Mbits/sec
[  1] 245.0000-246.0000 sec   366 KBytes  3.00 Mbits/sec
[  1] 246.0000-247.0000 sec   243 KBytes  1.99 Mbits/sec
[  1] 247.0000-248.0000 sec   255 KBytes  2.09 Mbits/sec
[  1] 248.0000-249.0000 sec   147 KBytes  1.20 Mbits/sec
[  1] 249.0000-250.0000 sec   201 KBytes  1.64 Mbits/sec
[  1] 250.0000-251.0000 sec   180 KBytes  1.47 Mbits/sec
[  1] 251.0000-252.0000 sec   157 KBytes  1.29 Mbits/sec
[  1] 252.0000-253.0000 sec   214 KBytes  1.75 Mbits/sec
[  1] 253.0000-254.0000 sec   197 KBytes  1.61 Mbits/sec
[  1] 254.0000-255.0000 sec   144 KBytes  1.18 Mbits/sec
[  1] 255.0000-256.0000 sec   106 KBytes   869 Kbits/sec
[  1] 256.0000-257.0000 sec   274 KBytes  2.25 Mbits/sec
[  1] 257.0000-258.0000 sec   356 KBytes  2.92 Mbits/sec
[  1] 258.0000-259.0000 sec   313 KBytes  2.56 Mbits/sec
[  1] 259.0000-260.0000 sec   216 KBytes  1.77 Mbits/sec
[  1] 260.0000-261.0000 sec  99.0 KBytes   811 Kbits/sec
[  1] 261.0000-262.0000 sec   324 KBytes  2.65 Mbits/sec
[  1] 262.0000-263.0000 sec   359 KBytes  2.94 Mbits/sec
[  1] 263.0000-264.0000 sec   288 KBytes  2.36 Mbits/sec
[  1] 264.0000-265.0000 sec   222 KBytes  1.82 Mbits/sec
[  1] 265.0000-266.0000 sec   195 KBytes  1.60 Mbits/sec
[  1] 266.0000-267.0000 sec   260 KBytes  2.13 Mbits/sec
[  1] 267.0000-268.0000 sec  38.2 KBytes   313 Kbits/sec
[  1] 268.0000-269.0000 sec   300 KBytes  2.46 Mbits/sec
[  1] 269.0000-270.0000 sec   260 KBytes  2.13 Mbits/sec
[  1] 270.0000-271.0000 sec   286 KBytes  2.34 Mbits/sec
[  1] 271.0000-272.0000 sec   260 KBytes  2.13 Mbits/sec
[  1] 272.0000-273.0000 sec   126 KBytes  1.03 Mbits/sec
[  1] 273.0000-274.0000 sec   173 KBytes  1.41 Mbits/sec
[  1] 274.0000-275.0000 sec   136 KBytes  1.11 Mbits/sec
[  1] 275.0000-276.0000 sec   127 KBytes  1.04 Mbits/sec
[  1] 276.0000-277.0000 sec   403 KBytes  3.30 Mbits/sec
[  1] 277.0000-278.0000 sec   308 KBytes  2.53 Mbits/sec
[  1] 278.0000-279.0000 sec   270 KBytes  2.21 Mbits/sec
[  1] 279.0000-280.0000 sec   283 KBytes  2.32 Mbits/sec
[  1] 280.0000-281.0000 sec   423 KBytes  3.46 Mbits/sec
[  1] 281.0000-282.0000 sec   334 KBytes  2.73 Mbits/sec
[  1] 282.0000-283.0000 sec   283 KBytes  2.32 Mbits/sec
[  1] 283.0000-284.0000 sec   383 KBytes  3.14 Mbits/sec
[  1] 284.0000-285.0000 sec   164 KBytes  1.34 Mbits/sec
[  1] 285.0000-286.0000 sec   236 KBytes  1.93 Mbits/sec
[  1] 286.0000-287.0000 sec   296 KBytes  2.42 Mbits/sec
[  1] 287.0000-288.0000 sec   216 KBytes  1.77 Mbits/sec
[  1] 288.0000-289.0000 sec   492 KBytes  4.03 Mbits/sec
[  1] 289.0000-290.0000 sec   182 KBytes  1.49 Mbits/sec
[  1] 290.0000-291.0000 sec  89.1 KBytes   730 Kbits/sec
[  1] 291.0000-292.0000 sec   257 KBytes  2.11 Mbits/sec
[  1] 292.0000-293.0000 sec   305 KBytes  2.50 Mbits/sec
[  1] 293.0000-294.0000 sec   235 KBytes  1.92 Mbits/sec
[  1] 294.0000-295.0000 sec   351 KBytes  2.87 Mbits/sec
[  1] 295.0000-296.0000 sec   506 KBytes  4.15 Mbits/sec
[  1] 296.0000-297.0000 sec  9.90 KBytes  81.1 Kbits/sec
[  1] 297.0000-298.0000 sec  19.8 KBytes   162 Kbits/sec
[  1] 298.0000-299.0000 sec   214 KBytes  1.75 Mbits/sec
[  1] 299.0000-300.0000 sec   421 KBytes  3.45 Mbits/sec
[  1] 300.0000-301.0000 sec   198 KBytes  1.62 Mbits/sec
[  1] 301.0000-302.0000 sec   250 KBytes  2.05 Mbits/sec
[  1] 302.0000-303.0000 sec   433 KBytes  3.54 Mbits/sec
[  1] 303.0000-304.0000 sec   284 KBytes  2.33 Mbits/sec
[  1] 304.0000-305.0000 sec   182 KBytes  1.49 Mbits/sec
[  1] 305.0000-306.0000 sec   141 KBytes  1.16 Mbits/sec
[  1] 306.0000-307.0000 sec   180 KBytes  1.47 Mbits/sec
[  1] 307.0000-308.0000 sec   157 KBytes  1.29 Mbits/sec
[  1] 308.0000-309.0000 sec   219 KBytes  1.80 Mbits/sec
[  1] 309.0000-310.0000 sec   206 KBytes  1.69 Mbits/sec
[  1] 310.0000-311.0000 sec   338 KBytes  2.77 Mbits/sec
[  1] 311.0000-312.0000 sec   170 KBytes  1.39 Mbits/sec
[  1] 312.0000-313.0000 sec   233 KBytes  1.91 Mbits/sec
[  1] 313.0000-314.0000 sec   416 KBytes  3.41 Mbits/sec
[  1] 314.0000-315.0000 sec   614 KBytes  5.03 Mbits/sec
[  1] 315.0000-316.0000 sec   478 KBytes  3.92 Mbits/sec
[  1] 316.0000-317.0000 sec   304 KBytes  2.49 Mbits/sec
[  1] 317.0000-318.0000 sec   187 KBytes  1.53 Mbits/sec
[  1] 318.0000-319.0000 sec   188 KBytes  1.54 Mbits/sec
[  1] 319.0000-320.0000 sec   174 KBytes  1.42 Mbits/sec
[  1] 320.0000-321.0000 sec   479 KBytes  3.93 Mbits/sec
[  1] 321.0000-322.0000 sec   402 KBytes  3.29 Mbits/sec
[  1] 322.0000-323.0000 sec   475 KBytes  3.89 Mbits/sec
[  1] 323.0000-324.0000 sec   202 KBytes  1.66 Mbits/sec
[  1] 324.0000-325.0000 sec   324 KBytes  2.65 Mbits/sec
[  1] 325.0000-326.0000 sec   171 KBytes  1.40 Mbits/sec
[  1] 326.0000-327.0000 sec   185 KBytes  1.52 Mbits/sec
[  1] 327.0000-328.0000 sec   477 KBytes  3.90 Mbits/sec
[  1] 328.0000-329.0000 sec   205 KBytes  1.68 Mbits/sec
[  1] 329.0000-330.0000 sec   281 KBytes  2.31 Mbits/sec
[  1] 330.0000-331.0000 sec   199 KBytes  1.63 Mbits/sec
[  1] 331.0000-332.0000 sec   260 KBytes  2.13 Mbits/sec
[  1] 332.0000-333.0000 sec   310 KBytes  2.54 Mbits/sec
[  1] 333.0000-334.0000 sec   288 KBytes  2.36 Mbits/sec
[  1] 334.0000-335.0000 sec   355 KBytes  2.91 Mbits/sec
[  1] 335.0000-336.0000 sec  87.7 KBytes   718 Kbits/sec
[  1] 336.0000-337.0000 sec   298 KBytes  2.44 Mbits/sec
[  1] 337.0000-338.0000 sec   219 KBytes  1.80 Mbits/sec
[  1] 338.0000-339.0000 sec   163 KBytes  1.33 Mbits/sec
[  1] 339.0000-340.0000 sec   277 KBytes  2.27 Mbits/sec
[  1] 340.0000-341.0000 sec   192 KBytes  1.58 Mbits/sec
[  1] 341.0000-342.0000 sec   290 KBytes  2.37 Mbits/sec
[  1] 342.0000-343.0000 sec   293 KBytes  2.40 Mbits/sec
[  1] 343.0000-344.0000 sec   130 KBytes  1.07 Mbits/sec
[  1] 344.0000-345.0000 sec  41.0 KBytes   336 Kbits/sec
[  1] 345.0000-346.0000 sec   113 KBytes   927 Kbits/sec
[  1] 346.0000-347.0000 sec   320 KBytes  2.62 Mbits/sec
