------------------------------------------------------------
Server listening on TCP port 58364
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.7 port 58364 connected with 10.0.0.4 port 46948 (icwnd/mss/irtt=14/1448/15415)
[ ID] Interval       Transfer     Bandwidth
[  1] 291.0000-292.0000 sec   925 KBytes  7.58 Mbits/sec
[  1] 292.0000-293.0000 sec   595 KBytes  4.88 Mbits/sec
[  1] 293.0000-294.0000 sec   363 KBytes  2.98 Mbits/sec
[  1] 294.0000-295.0000 sec   697 KBytes  5.71 Mbits/sec
[  1] 295.0000-296.0000 sec   889 KBytes  7.29 Mbits/sec
[  1] 296.0000-297.0000 sec   672 KBytes  5.50 Mbits/sec
[  1] 297.0000-298.0000 sec   831 KBytes  6.81 Mbits/sec
[  1] 298.0000-299.0000 sec   436 KBytes  3.57 Mbits/sec
[  1] 299.0000-300.0000 sec   583 KBytes  4.77 Mbits/sec
[  1] 300.0000-301.0000 sec   768 KBytes  6.29 Mbits/sec
[  1] 301.0000-302.0000 sec   551 KBytes  4.52 Mbits/sec
[  1] 302.0000-303.0000 sec   557 KBytes  4.56 Mbits/sec
[  1] 303.0000-304.0000 sec   491 KBytes  4.02 Mbits/sec
[  1] 304.0000-305.0000 sec   772 KBytes  6.32 Mbits/sec
[  1] 305.0000-306.0000 sec   723 KBytes  5.92 Mbits/sec
[  1] 306.0000-307.0000 sec   747 KBytes  6.12 Mbits/sec
[  1] 307.0000-308.0000 sec   645 KBytes  5.28 Mbits/sec
[  1] 308.0000-309.0000 sec   329 KBytes  2.70 Mbits/sec
[  1] 309.0000-310.0000 sec   506 KBytes  4.15 Mbits/sec
[  1] 310.0000-311.0000 sec   749 KBytes  6.14 Mbits/sec
[  1] 311.0000-312.0000 sec   836 KBytes  6.85 Mbits/sec
[  1] 312.0000-313.0000 sec   540 KBytes  4.43 Mbits/sec
[  1] 313.0000-314.0000 sec   684 KBytes  5.61 Mbits/sec
[  1] 314.0000-315.0000 sec   525 KBytes  4.30 Mbits/sec
[  1] 315.0000-316.0000 sec   543 KBytes  4.45 Mbits/sec
[  1] 316.0000-317.0000 sec   684 KBytes  5.61 Mbits/sec
[  1] 317.0000-318.0000 sec   700 KBytes  5.73 Mbits/sec
[  1] 318.0000-319.0000 sec   542 KBytes  4.44 Mbits/sec
[  1] 319.0000-320.0000 sec   362 KBytes  2.97 Mbits/sec
[  1] 320.0000-321.0000 sec   102 KBytes   834 Kbits/sec
[  1] 321.0000-322.0000 sec  2.83 KBytes  23.2 Kbits/sec
[  1] 322.0000-323.0000 sec   988 KBytes  8.10 Mbits/sec
[  1] 323.0000-324.0000 sec   622 KBytes  5.10 Mbits/sec
[  1] 324.0000-325.0000 sec   648 KBytes  5.31 Mbits/sec
[  1] 325.0000-326.0000 sec   359 KBytes  2.94 Mbits/sec
[  1] 326.0000-327.0000 sec   523 KBytes  4.29 Mbits/sec
[  1] 327.0000-328.0000 sec   711 KBytes  5.83 Mbits/sec
[  1] 328.0000-329.0000 sec   591 KBytes  4.84 Mbits/sec
[  1] 329.0000-330.0000 sec   368 KBytes  3.01 Mbits/sec
[  1] 330.0000-331.0000 sec   663 KBytes  5.43 Mbits/sec
[  1] 331.0000-332.0000 sec   533 KBytes  4.37 Mbits/sec
[  1] 332.0000-333.0000 sec   625 KBytes  5.12 Mbits/sec
